path,mask_path,class_name,label,md5,duplicate_of
COVID/images/COVID-140.png,COVID/masks/COVID-140.png,COVID,0,cd61190265561a35beccdf03d5d3b6b6,COVID/images/COVID-1.png
COVID/images/COVID-591.png,COVID/masks/COVID-591.png,COVID,0,64a90f11e99315450261f2b7e5098486,COVID/images/COVID-1.png
COVID/images/COVID-97.png,COVID/masks/COVID-97.png,COVID,0,14e5bfba56d1e489d7552d190bf9c0d7,COVID/images/COVID-100.png
COVID/images/COVID-181.png,COVID/masks/COVID-181.png,COVID,0,c66c8bf34e289e50c93f6005efc3571c,COVID/images/COVID-101.png
COVID/images/COVID-190.png,COVID/masks/COVID-190.png,COVID,0,f5f2f0d02e5bd487b373a799a2e46397,COVID/images/COVID-107.png
COVID/images/COVID-57.png,COVID/masks/COVID-57.png,COVID,0,73cecd8e5e63b19121069113565c52d7,COVID/images/COVID-1078.png
COVID/images/COVID-256.png,COVID/masks/COVID-256.png,COVID,0,cfdbbf0bc99e1100494f22453167d591,COVID/images/COVID-1087.png
COVID/images/COVID-792.png,COVID/masks/COVID-792.png,COVID,0,910d93d3805861d3fa3cc40bdcbe9630,COVID/images/COVID-1087.png
COVID/images/COVID-115.png,COVID/masks/COVID-115.png,COVID,0,24fe165f863b404f8477fafc2c6eb13e,COVID/images/COVID-1096.png
COVID/images/COVID-377.png,COVID/masks/COVID-377.png,COVID,0,e6402002a6f9eb056a0415fe7c871247,COVID/images/COVID-1099.png
COVID/images/COVID-160.png,COVID/masks/COVID-160.png,COVID,0,580a377678732d4f7faf627a84f3e31b,COVID/images/COVID-11.png
COVID/images/COVID-633.png,COVID/masks/COVID-633.png,COVID,0,0f229aea33a69c468f95e2a06b570858,COVID/images/COVID-111.png
COVID/images/COVID-60.png,COVID/masks/COVID-60.png,COVID,0,52624d38a3b9c0d00ae592ab352e42ad,COVID/images/COVID-1111.png
COVID/images/COVID-372.png,COVID/masks/COVID-372.png,COVID,0,8658cecf6cd8f29d1e21465222e7e10a,COVID/images/COVID-112.png
COVID/images/COVID-1416.png,COVID/masks/COVID-1416.png,COVID,0,3a154a28f0adb158ae0afb928fc65cf8,COVID/images/COVID-1123.png
COVID/images/COVID-323.png,COVID/masks/COVID-323.png,COVID,0,4f228c2a63f919c0adf7331c15e9fc07,COVID/images/COVID-1123.png
COVID/images/COVID-1335.png,COVID/masks/COVID-1335.png,COVID,0,8820bf41f82586b5b87d7f9b9c3af2a6,COVID/images/COVID-1126.png
COVID/images/COVID-90.png,COVID/masks/COVID-90.png,COVID,0,20bcb821b0c873856c31e92454f71105,COVID/images/COVID-1126.png
COVID/images/COVID-1367.png,COVID/masks/COVID-1367.png,COVID,0,873e6ef16efefbd22f98f6323dff8048,COVID/images/COVID-1129.png
COVID/images/COVID-1370.png,COVID/masks/COVID-1370.png,COVID,0,8b69d9151fbdbf88ad8d892df05183bc,COVID/images/COVID-1132.png
COVID/images/COVID-1422.png,COVID/masks/COVID-1422.png,COVID,0,12def7a3a6724d58346f135d88d049fe,COVID/images/COVID-1135.png
COVID/images/COVID-63.png,COVID/masks/COVID-63.png,COVID,0,b4ca790f7b09dfd7be8fd91c95d14303,COVID/images/COVID-1138.png
COVID/images/COVID-766.png,COVID/masks/COVID-766.png,COVID,0,639430b0e280a4f33456941bd0d30aa0,COVID/images/COVID-114.png
COVID/images/COVID-1413.png,COVID/masks/COVID-1413.png,COVID,0,c43ab6ce53837cf9ad64b8a545c12ca1,COVID/images/COVID-1141.png
COVID/images/COVID-1419.png,COVID/masks/COVID-1419.png,COVID,0,07b6d3082e86d8021bca1fb64c29f585,COVID/images/COVID-1144.png
COVID/images/COVID-1200.png,COVID/masks/COVID-1200.png,COVID,0,ffdceb640ba89eab5a504e67c1f393f4,COVID/images/COVID-1159.png
COVID/images/COVID-483.png,COVID/masks/COVID-483.png,COVID,0,6d9e0c33a2bdf4453098ad796127dfab,COVID/images/COVID-1159.png
COVID/images/COVID-93.png,COVID/masks/COVID-93.png,COVID,0,6974cd3ce36fa4c93157c487ea9b2e32,COVID/images/COVID-1159.png
COVID/images/COVID-177.png,COVID/masks/COVID-177.png,COVID,0,f06bb68e87ce0cc0a67fdb256f9fb466,COVID/images/COVID-1165.png
COVID/images/COVID-180.png,COVID/masks/COVID-180.png,COVID,0,6c69c61266ade15a71f153bafec69608,COVID/images/COVID-1167.png
COVID/images/COVID-192.png,COVID/masks/COVID-192.png,COVID,0,22d537c901296a0a94a07dfe9ae59ccf,COVID/images/COVID-1188.png
COVID/images/COVID-334.png,COVID/masks/COVID-334.png,COVID,0,cd9e82d6f97502d06e1b1d0175fb8e73,COVID/images/COVID-1188.png
COVID/images/COVID-487.png,COVID/masks/COVID-487.png,COVID,0,43130a7dba6f95d9929c5dababea8b75,COVID/images/COVID-1188.png
COVID/images/COVID-186.png,COVID/masks/COVID-186.png,COVID,0,42fc572ffa3213acf748f085716aaa91,COVID/images/COVID-1191.png
COVID/images/COVID-520.png,COVID/masks/COVID-520.png,COVID,0,ba9580f1ec8443ddd626260d7b7b1ead,COVID/images/COVID-120.png
COVID/images/COVID-789.png,COVID/masks/COVID-789.png,COVID,0,f7f2ef592aa116910c8e2fd806cae79f,COVID/images/COVID-1228.png
COVID/images/COVID-247.png,COVID/masks/COVID-247.png,COVID,0,e6b2eff7bbc1e0885c2a4af1b1d030af,COVID/images/COVID-123.png
COVID/images/COVID-567.png,COVID/masks/COVID-567.png,COVID,0,a98e916631020276e1610c47a5e522be,COVID/images/COVID-123.png
COVID/images/COVID-946.png,COVID/masks/COVID-946.png,COVID,0,a71d02cb0da827e28df3eb345f1c3c90,COVID/images/COVID-1235.png
COVID/images/COVID-1386.png,COVID/masks/COVID-1386.png,COVID,0,82de024ee1fc46f92397647fc7d40c26,COVID/images/COVID-1241.png
COVID/images/COVID-1437.png,COVID/masks/COVID-1437.png,COVID,0,038b2af63ae06e5087476cabfa7c0747,COVID/images/COVID-1244.png
COVID/images/COVID-358.png,COVID/masks/COVID-358.png,COVID,0,cd287ece5f59250ad9468b4ddfcccac6,COVID/images/COVID-1244.png
COVID/images/COVID-230.png,COVID/masks/COVID-230.png,COVID,0,c7161404f9d829829d35401296f4eb08,COVID/images/COVID-126.png
COVID/images/COVID-540.png,COVID/masks/COVID-540.png,COVID,0,6d7b9d12ff0aca50366758548fe720b2,COVID/images/COVID-126.png
COVID/images/COVID-41.png,COVID/masks/COVID-41.png,COVID,0,c6ecd0490c8ed087863afd132a9064d9,COVID/images/COVID-1261.png
COVID/images/COVID-439.png,COVID/masks/COVID-439.png,COVID,0,32a324edddd82758773dc465ee5108e2,COVID/images/COVID-1264.png
COVID/images/COVID-442.png,COVID/masks/COVID-442.png,COVID,0,773c12b686b915163deced834b05b734,COVID/images/COVID-1267.png
COVID/images/COVID-447.png,COVID/masks/COVID-447.png,COVID,0,c77192dbfa40ff86efadb602c973f594,COVID/images/COVID-1276.png
COVID/images/COVID-450.png,COVID/masks/COVID-450.png,COVID,0,f1e5a4a41f8514935dcfb487f93099a4,COVID/images/COVID-1279.png
COVID/images/COVID-455.png,COVID/masks/COVID-455.png,COVID,0,287be5f7d732e97fea0c63eacdf38f5f,COVID/images/COVID-1285.png
COVID/images/COVID-458.png,COVID/masks/COVID-458.png,COVID,0,04a8e983ba16e92486b3a3c844df0f30,COVID/images/COVID-1288.png
COVID/images/COVID-752.png,COVID/masks/COVID-752.png,COVID,0,7283d0e0e4a5a5acb98b2f5f3f194690,COVID/images/COVID-129.png
COVID/images/COVID-461.png,COVID/masks/COVID-461.png,COVID,0,8c4e23cc2577604c400955725e96f83c,COVID/images/COVID-1291.png
COVID/images/COVID-54.png,COVID/masks/COVID-54.png,COVID,0,effe00ad7f6103e9dd443aae1be4e892,COVID/images/COVID-1296.png
COVID/images/COVID-44.png,COVID/masks/COVID-44.png,COVID,0,4b28db604fc8be0954030809178af896,COVID/images/COVID-1299.png
COVID/images/COVID-1449.png,COVID/masks/COVID-1449.png,COVID,0,68790e25775fa74f990f4286293e5583,COVID/images/COVID-1302.png
COVID/images/COVID-284.png,COVID/masks/COVID-284.png,COVID,0,71608cc835a29558bc6e6ed0dfbe1e41,COVID/images/COVID-1314.png
COVID/images/COVID-494.png,COVID/masks/COVID-494.png,COVID,0,c5c0765b07223ba69d54beb4d7f4a1b8,COVID/images/COVID-1314.png
COVID/images/COVID-250.png,COVID/masks/COVID-250.png,COVID,0,d23f2cb0aa29f5387196773ffa797679,COVID/images/COVID-132.png
COVID/images/COVID-569.png,COVID/masks/COVID-569.png,COVID,0,aa06d0adb0d8105a2add2697a53df413,COVID/images/COVID-132.png
COVID/images/COVID-287.png,COVID/masks/COVID-287.png,COVID,0,2ff03ae29518a17e676cf52b04c20315,COVID/images/COVID-1320.png
COVID/images/COVID-773.png,COVID/masks/COVID-773.png,COVID,0,29fbc46cc931857ba77f9df363985b4c,COVID/images/COVID-1323.png
COVID/images/COVID-295.png,COVID/masks/COVID-295.png,COVID,0,2869b6cf928e6e1061868b11d36ce85e,COVID/images/COVID-1326.png
COVID/images/COVID-738.png,COVID/masks/COVID-738.png,COVID,0,5e898c24bccb0240e6a46634a1601795,COVID/images/COVID-1326.png
COVID/images/COVID-1461.png,COVID/masks/COVID-1461.png,COVID,0,e674cc8066073362b5a93c38513947b6,COVID/images/COVID-1329.png
COVID/images/COVID-292.png,COVID/masks/COVID-292.png,COVID,0,b4704699caf37d86c9167a443a95dd3a,COVID/images/COVID-1332.png
COVID/images/COVID-755.png,COVID/masks/COVID-755.png,COVID,0,fe3d5424fee5dcf34a4dce468ce037c1,COVID/images/COVID-1332.png
COVID/images/COVID-478.png,COVID/masks/COVID-478.png,COVID,0,aff6b34a7e373bee138172af1250cf33,COVID/images/COVID-1338.png
COVID/images/COVID-475.png,COVID/masks/COVID-475.png,COVID,0,31fc258b00b952a52b5d6a06d532ae93,COVID/images/COVID-1341.png
COVID/images/COVID-489.png,COVID/masks/COVID-489.png,COVID,0,4d5e0d3b130c57ae1b03798abc4a27f8,COVID/images/COVID-1344.png
