epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.7812947630882263,0.48419374227523804,0.7684777975082397,0.7402101159095764,0.6565682888031006,0.6689068675041199
1,0.8010095953941345,0.44795677065849304,0.7897012829780579,0.7545367479324341,0.6280226111412048,0.6912716627120972
2,0.8103554248809814,0.4268450140953064,0.8020712733268738,0.7847819328308105,0.5504260659217834,0.7502089738845825
3,0.8180639743804932,0.4023868143558502,0.8080996870994568,0.7698185443878174,0.5916553139686584,0.7148908376693726
4,0.8282966017723083,0.3852565288543701,0.8179575204849243,0.8013371825218201,0.5170891284942627,0.7776024341583252
5,0.8325260877609253,0.37441977858543396,0.824358344078064,0.7949697375297546,0.54035484790802,0.7639380693435669
6,0.8382563591003418,0.3640708923339844,0.8317213654518127,0.8029289841651917,0.5071865916252136,0.7783417701721191
7,0.8468517661094666,0.3459925055503845,0.8404756784439087,0.7962432503700256,0.5419272184371948,0.7636592388153076
8,0.8530595302581787,0.342589795589447,0.8440505266189575,0.8242598176002502,0.47391870617866516,0.8115990161895752
9,0.855720043182373,0.3283514380455017,0.8486843109130859,0.8118433356285095,0.5018730759620667,0.7874011993408203
10,0.8595402240753174,0.32062017917633057,0.8544555306434631,0.8026106357574463,0.514866828918457,0.7719953060150146
11,0.8610410094261169,0.31383299827575684,0.8561819791793823,0.8315823078155518,0.446822851896286,0.8255785703659058
12,0.8664301633834839,0.30006375908851624,0.8618170619010925,0.818210780620575,0.4784219264984131,0.7988030314445496
13,0.86424720287323,0.30142879486083984,0.8597477674484253,0.8239414095878601,0.47157514095306396,0.8098090887069702
14,0.8701821565628052,0.29483410716056824,0.8650665283203125,0.8360394835472107,0.4328223764896393,0.8274165987968445
