epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.831843912601471,0.3990446627140045,0.813553512096405,0.7889207005500793,0.5449422597885132,0.737665593624115
1,0.8355959057807922,0.38011735677719116,0.8173872232437134,0.8140719532966614,0.49559304118156433,0.784747302532196
2,0.8472610712051392,0.3551773130893707,0.8317697048187256,0.816937267780304,0.47927042841911316,0.787973165512085
3,0.8615185022354126,0.3237641453742981,0.8488491773605347,0.8051576018333435,0.5320370197296143,0.7722437977790833
4,0.8679991960525513,0.3111051619052887,0.8573607206344604,0.8287169933319092,0.45748716592788696,0.8067367076873779
5,0.8711372017860413,0.2950628399848938,0.8612618446350098,0.8392232060432434,0.42485666275024414,0.822942316532135
6,0.8785728812217712,0.27802667021751404,0.8684694170951843,0.8433619737625122,0.43202897906303406,0.8295759558677673
7,0.8767310380935669,0.28148138523101807,0.8666291236877441,0.8449538350105286,0.4092308282852173,0.8210760951042175
8,0.8883962035179138,0.26291123032569885,0.879040002822876,0.8529130816459656,0.3975575864315033,0.8428335189819336
9,0.8864179253578186,0.2562679350376129,0.8790122866630554,0.8560968041419983,0.3905067443847656,0.844455361366272
10,0.8905791640281677,0.25287365913391113,0.8821878433227539,0.8436803817749023,0.437485009431839,0.8300250768661499
11,0.8907155990600586,0.2559273838996887,0.8847202062606812,0.8608723282814026,0.37876611948013306,0.8506909608840942
12,0.8940582871437073,0.24540387094020844,0.8878430128097534,0.8497293591499329,0.41158241033554077,0.8354247808456421
13,0.8965140581130981,0.23379743099212646,0.8910018801689148,0.8605539798736572,0.3840235769748688,0.8482511043548584
14,0.9042908549308777,0.22383199632167816,0.8993246555328369,0.8551416993141174,0.398553729057312,0.8448187112808228
